logFC AveExpr t P.Value adj.P.Val B
CCDC178 -1.70501063027893 2.50757904724419 -5.11216666956069 4.71973716254941e-06 0.000120341757945346 3.89734650477163
CCDC68 -1.16665670670761 2.74751679639067 -3.81554060566174 0.00036503696152659 0.00370130087824992 -0.251233625803271
CCEPR -2.92087160478913 2.6505097708372 -10.0116348696154 1.08724748726553e-13 1.61976577442122e-10 20.9225479965225
CCK -2.61512028078296 4.23811621927006 -6.26768819779846 7.46157439243334e-08 4.68144582852794e-06 7.90342170840864
CCL18 1.00152075121033 2.57492781227047 2.88847854838577 0.00564554150151489 0.0291241798409835 -2.79614936686002
CCL2 -1.85845656589009 7.44005834971637 -5.11037488304426 4.7495214074898e-06 0.000120901680833358 3.89129422429699
CD163L1 1.44193462364341 3.59160910804324 3.86048540377949 0.000316678809825525 0.00332744077407102 -0.117194508676354
CD177 -4.5338528108729 6.25992796228298 -9.00685456563112 3.62563956023567e-12 1.95167931311812e-09 17.5337925401707
CD1E -1.15745318258237 2.82397849519779 -3.34818257288251 0.00152486520537168 0.0109292486558203 -1.59031406916789
CD200 -1.4835160487567 3.942624813862 -5.09351374821 5.03902468825457e-06 0.000126777970956484 3.83437339369969
CD38 -2.53736255083879 5.47509033458393 -5.13963675029281 4.28549668320783e-06 0.000111310839753008 3.99021700575045
CD40 -1.29983097534032 4.09200785157695 -7.24955305077761 2.06214223321297e-09 2.68813128488268e-07 11.3834737786746
CD68 1.79471381588575 3.02126787698702 6.48164075053651 3.41929748725579e-08 2.51592525109255e-06 8.65958719485456
CDC14B -1.16110892042222 5.06564562211479 -8.02461960713342 1.22646403066146e-10 2.69516356922022e-08 14.1216022826053
CDC42EP2 1.28348318959978 3.15501031902646 5.70784520389405 5.66954526284276e-07 2.29611078732255e-05 5.94112125290846
CDC45 1.07153686934072 3.18969707966199 3.0067468341213 0.00407247639356254 0.0228393762141796 -2.49758452613051
CDCA3 1.1211956641333 3.08309059587218 4.45134047730311 4.5864811872553e-05 0.000745598114751237 1.71748312062868
CDCA5 1.33432015248676 4.48877438870563 4.09794206667305 0.000147675123012254 0.00183697556633549 0.604666311625529
CDH20 -1.10991674403544 2.21968653185262 -3.31100353132693 0.00170161925599296 0.0119198496912101 -1.69220953542983
CDH3 -1.27124634766888 6.29577516994315 -5.31242712011834 2.32835533006318e-06 7.04664389037777e-05 4.57775889682228
CDIPTOSP 1.06131559595747 3.13865484 3.22835321701851 0.00216643445206059 0.0142859357754093 -1.9160855379928
CDKN3 1.3923826665711 3.78014572079144 4.17154373641888 0.000116124271428346 0.00151948435627373 0.832830683603762
CENPE 1.74242733337977 3.4819098849953 4.23305272956926 9.48661278717783e-05 0.00131034624438522 1.02501544187681
CENPK 1.02820876493838 2.9737593885349 3.09394749936353 0.00318612756785932 0.0190083131243826 -2.27211836126082
CENPM 2.18611200474206 3.24184010985598 6.7446758706902 1.30736039298339e-08 1.13615065485227e-06 9.59178214821368
CEP131 1.21771269305286 3.65111590334651 3.80492557402878 0.000377454993188953 0.00381054152610938 -0.282764936824249
CEP55 1.63878737542915 3.48668806074452 4.98477350717996 7.37072723142082e-06 0.000173120785884847 3.46873863085597
CERS4 1.09036945865071 4.45174583321173 3.18522625038098 0.00245422228171434 0.0156729069594966 -2.03142734022862
CFD -1.31802916021752 5.92846296316127 -5.27176355227316 2.68902041072879e-06 7.76799151060531e-05 4.43898643740581
CFH -1.27744428307314 5.33650701355149 -3.4867341762634 0.00100772929661735 0.00797957856474873 -1.20431074743402
CGREF1 2.37063633635592 5.45817235213961 8.11641548503061 8.79793212102193e-11 2.03887189164616e-08 14.4437886498199
CHGB -1.53035870202788 3.92144456741918 -3.36244177606025 0.00146180908933333 0.0105754256594607 -1.5510420546517
CHMP4C 1.16143397235378 7.00647971275753 5.61085317001091 8.03230656763794e-07 2.95989077882022e-05 5.60458207781781
CHN2 1.33372364935174 4.78528525248817 3.75184055229879 0.000445902458597634 0.00428797033477908 -0.439716698874521
CHODL -1.32736227327093 3.80331519145841 -2.75648210144641 0.00805709061028264 0.0381924406496966 -3.11915851927076
CHP2 -1.61339380042974 3.11356506345081 -3.80078393916169 0.000382409451898467 0.00384566727977162 -0.295054242672618
CHRM1 -1.11539899606666 6.04687194 -3.1611213298602 0.0026303887860385 0.0165048191667885 -2.09544571034403
CHRM3 1.56984057390668 3.98389907481575 3.6150155527126 0.000681655186263599 0.00593576068333883 -0.8384437904205
CHST9 -1.50280762288537 2.77965052082499 -3.83213881353826 0.00034640373558231 0.00355908508031539 -0.201832770140366
CHTF18 1.05733103569185 6.40817332380282 6.32053392119803 6.15471877540633e-08 4.01274675379496e-06 8.08996206610399
CIB2 -1.56378796983281 4.4211648621642 -6.10775446330367 1.33502616554139e-07 7.46371877099271e-06 7.34000516596136
CIDEA 1.06147933178659 2.03670208552186 3.63067555947143 0.000649582458823677 0.00574325618638636 -0.793243566780568
CITED1 -1.59332933206112 4.81406139446644 -3.05679526498274 0.00353902314422328 0.0205265310675932 -2.36872166050059
CLDN3 1.28481898370841 6.69055859522166 5.1441244667826 4.21840013887344e-06 0.000109978964620604 4.00540358783031
CLDN7 1.51139743450599 6.09736283283963 5.019390613499 6.53187768980263e-06 0.000157134224886059 3.58485771967616
CLDN8 1.0154812919797 7.59451386572471 3.23122324015885 0.00214845862592511 0.0141939821225594 -1.90837344502008
CLEC11A 1.02901565751812 4.86928133521744 5.71895126153051 5.44747385642835e-07 2.23657405951823e-05 5.97973417056188
CLEC1A -1.06530658976074 2.71826361809396 -2.78398076861008 0.00748753269811972 0.0361331488858591 -3.05277673106224
CLIP4 -1.04116537244614 6.77202007842949 -6.41574931621255 4.34907138863377e-08 3.02361939842448e-06 8.42646017262398
CLVS2 -1.16387662800549 2.91158506738657 -3.19786568303283 0.00236634908149457 0.0152200363362668 -1.99772995194845
CLXN -1.21984929935499 1.98305542045879 -6.89554480483844 7.52811572894721e-09 7.40631649804962e-07 10.1271488154915
COL12A1 1.571425555911 4.89959829179076 5.27194535127033 2.68729118451337e-06 7.76799151060531e-05 4.43960619572376
COL17A1 -3.01847227352288 3.15239337330446 -8.37161959071637 3.50427010566158e-11 9.7451415458378e-09 15.3363216880039
COL28A1 1.09862246778932 4.799454309 3.2700346183117 0.00191878504164377 0.0130486141550584 -1.80364252380092
COL2A1 3.02755533409947 3.34986130167508 3.81314744719608 0.000367801817154667 0.00372390412640529 -0.258346590980133
COL4A6 -2.11452636052816 4.04264762714425 -10.3287468486092 3.68014598784625e-14 6.97789135168266e-11 21.9666657023678
COL7A1 -1.39333460670632 4.42414685430579 -7.43516818208954 1.04675674923849e-09 1.58710323526133e-07 12.0414039006639
COL9A1 -1.12719837969464 1.59387473631342 -3.62399512314196 0.000663083773556348 0.00582346388865363 -0.812539641171169
COL9A2 1.17651343100711 5.0409444101725 3.69327197321603 0.000535227692250071 0.00496364783337471 -0.611435511456372
COMP 2.09472247573799 5.25882785211229 4.18832086514999 0.000109906385324624 0.00145842322852539 0.885116732660548
CORO1B 1.10090293851998 6.15364919225914 6.78690902541983 1.12021473179484e-08 9.98475156454917e-07 9.74161813570866
CPA6 -2.93495850438904 2.24154798709508 -9.68724368139799 3.33300288896362e-13 3.48422576715715e-10 19.8414085318234
CPAMD8 -1.19392346836127 5.00187537633316 -5.33156155197366 2.17560229140026e-06 6.68284786328942e-05 4.64316098886915
CPLX3 -2.294678279112 6.62278309170939 -8.25601770752177 5.31422025840167e-11 1.36837891270967e-08 14.932632260998
CPM -2.49940412689306 4.77725856051398 -6.43979174391588 3.98372670938208e-08 2.85527793737395e-06 8.51150051738839
CPNE7 1.64103060470918 4.08916591422941 4.88569103863973 1.04020469587806e-05 0.0002293398450521 3.13789095510379
CPXM1 -1.56442688072305 3.81701889503277 -4.46360455154676 4.40119585776398e-05 0.000721664638407101 1.75684635389226
CRACR2B 1.26319952507359 6.11048169540232 6.7900553921603 1.10739469089482e-08 9.91284595192845e-07 9.75278206699623
