GSM2807157_BH160152-1_PSA10.4_HG-U133_Plus_2_.CEL GSM2807158_BH160152-1_PSA10.91_HG-U133_Plus_2_.CEL GSM2807159_BH160152-1_PSA6.17_HG-U133_Plus_2_.CEL GSM2807160_BH160152-1_PSA8.9_HG-U133_Plus_2_.CEL GSM2807161_BH160152-1_PSA17.23_HG-U133_Plus_2_.CEL GSM2807162_BH160152-1_PSA41.74_HG-U133_Plus_2_.CEL GSM2807163_BH160152-1_PSA435.9_HG-U133_Plus_2_.CEL GSM2807164_BH160152-1_PSA94.89_HG-U133_Plus_2_.CEL
ACOT11 3.36267033736607 3.59430247046983 2.9218500232471 3.82814437710068 1.64696240614182 2.96622777886884 2.99290121239398 2.75235532792399
ACOT12 0.458337504928511 0.507357021182785 0.77057440440856 2.26931479731782 2.37757771145707 2.14630161248436 2.89686007484107 1.69905516641936
ACOT13 9.20993905763476 9.50186897321455 8.99647348873323 9.20234588921403 7.92201075266585 7.75443614047195 7.79731337913096 9.17527090474051
ACOT4 5.52887259102117 6.25502856981873 6.26418717109199 4.67079496411476 5.55184865950898 5.37163047929363 5.79488602954847 6.24086870237347
ACOT6 1.16166861897204 1.13793503834666 1.06585388925771 1.16658066989523 1.18616149109872 1.19693533099148 1.50501064676333 1.43770992385217
ACOT7 4.78025421929248 4.69062734050907 4.97025432423058 4.22614444786034 5.74535820183677 5.15675565982056 5.58810396232309 5.03943797844602
ACOT8 6.37167058767137 6.80629679850152 6.1895209811476 6.15073551962084 6.34317534391675 5.88183666774546 6.20817654577987 6.33824741723268
ACOT9 7.84032594333567 7.67144289578712 7.68970550553241 7.44688538265499 6.64895336101566 7.77355115906141 7.55909732279639 8.73959511293351
ACOX1 5.67290813556524 5.78489672293433 5.53529531129638 5.63561277449207 5.30043886821877 5.04772902782753 5.70468358315111 5.28945570308859
ACOX2 6.94395372432213 7.09182957584441 6.72741290286659 6.81483333249195 4.3466335199367 5.63159028493945 2.87977587853038 5.76077872075772
ACOX3 6.71655441452613 6.33750665137416 6.35922364040856 6.50423982941044 7.07255263095822 6.66906111979026 7.05293605633415 6.65684244406389
ACOXL 6.13428586345705 5.62775992722866 5.5715585622902 6.35354801951472 2.81946362208901 2.84400328958014 4.08469581092546 3.49121817911227
ACP1 7.65301948106357 8.00649309969188 7.79686986854312 7.65297586915873 7.83050863947771 7.70728636289331 8.23064451056805 8.26382506085752
ACP2 7.72290585547923 7.84565501810471 8.02290615133209 7.49427849697652 7.61992180350147 7.08871101728615 7.14133312671701 7.91689047560649
ACP3 11.0343962259779 11.0848874519814 11.055987913883 11.0717175296822 9.77823581181513 10.2401631261103 9.99377884864548 9.5708911768472
ACP4 5.25670711834182 5.39697887354447 5.36806418520417 5.56537894027943 5.24525852595286 5.44717291972883 5.49630709353954 4.79173648507554
ACP5 7.36626775879106 8.25128096759809 8.61296138283217 6.99426093229187 7.6711551105191 7.43554814197853 6.75169903263347 5.51155890534725
ACP6 6.62336171809937 6.66351574461033 6.82243574967007 6.83424188712853 6.59582413522696 7.06491919346561 6.63826185259364 6.70678949275294
ACR 2.85908210422312 2.91476358421789 3.87683704784014 2.96116535588194 3.91183233779081 1.6696169957068 3.68303387801583 5.18046112045007
