logFC AveExpr t P.Value adj.P.Val B
ABCB9 0.212801544397676 2.33420598264798 0.923601897656108 0.381859825744493 0.673925400706793 -6.15538839183925
ABCC1 0.147271635224194 7.83171075612519 0.40100239786182 0.698583514390958 0.87299918272332 -6.51414334761903
ABCC10 -0.082728965940758 6.68621606438779 -0.416073528398817 0.687947989199898 0.868607737196094 -6.50750277309688
ABCC11 0.477004661934714 3.40101037005137 0.469082181678429 0.651133270525221 0.850280905543735 -6.4822903614358
ABCC12 0.960252130193391 1.6515324933158 1.27100813302044 0.238320929665105 0.546106309605043 -5.79107895765138
ABCC13 -0.468437940037113 1.94342339949189 -1.44435827070676 0.185446751678472 0.484998482728262 -5.58022529699949
ABCC2 0.170669915044427 0.66161279225041 1.09224323267305 0.305530857399783 0.610521849103949 -5.98924919354684
ABCC3 0.113621179827647 3.33725198617635 0.21799402697056 0.832718659177231 0.93794961788948 -6.57569907924941
ABCC4 1.98332800812004 8.41000371473243 3.27037884941201 0.0108511576077157 0.134319739731568 -2.86219021525949
ABCC5 -0.0112493519877894 6.67547806916622 -0.0587307952004934 0.954561438510834 0.983119698110962 -6.59987833761421
ABCC6 -0.0829630162365942 2.09853026716677 -0.197014794798674 0.848573648928951 0.94437631608148 -6.58046540134645
ABCC6P1 -1.02313105723677 3.0555167682449 -1.8874709281175 0.0946083397087365 0.359858994059435 -4.97740664072944
ABCC8 -0.00715641706652326 2.02480399093558 -0.0441351519318385 0.965844152518157 0.987433566901651 -6.60070435617032
ABCC9 0.0660628336423339 3.25626906941588 0.257553022160189 0.803047142051584 0.924397275885528 -6.56541787858618
ABCD1 0.428996371542818 4.03235818189105 0.651258537931352 0.532561291828563 0.779372154312055 -6.37424708600295
ABCD2 0.378441700992442 1.73702645729243 0.461580129594136 0.656285427720743 0.853194394301067 -6.48603298899616
ABCD3 -0.446438955932059 8.15386610554967 -2.67875763333541 0.0271794370372536 0.204134504244148 -3.77856815739298
ABCD4 -0.449369571880433 4.70777179126556 -2.32559920109703 0.0474934833792582 0.264434485542228 -4.32406646935992
ABCE1 0.566267208726799 8.65250134071241 3.78392736984063 0.00504498844468358 0.0930480380318207 -2.08781033050981
ABCF1 0.251073581536475 7.30904310439597 1.33620027561117 0.217093013821728 0.522282474214796 -5.71377973244856
ABCF2 0.191518257766612 5.21139239046939 0.844322244458091 0.422248166016943 0.705958316522275 -6.22573332092658
ABCF3 -0.0542714698725879 6.64456781607166 -0.275631060793256 0.789596034404049 0.919086841500985 -6.56015917880148
ABCG1 0.083614556546463 6.30690428594735 0.411987363019404 0.690824424605339 0.869455317140645 -6.50932642288837
ABCG2 -0.263224224382849 5.71834076845847 -0.715024494965191 0.494288511538963 0.753920612978907 -6.32891255359081
ABCG4 -0.300608626229943 2.88431571374147 -0.710431463114295 0.49698586839802 0.755898363390761 -6.3323034342648
ABCG5 -0.14649818141307 1.32649499607346 -0.288462214245111 0.780093703333634 0.913851300458289 -6.55621443144061
ABCG8 -0.506066750301568 2.28610002202185 -1.10079538744853 0.302001740807181 0.606280746575933 -5.98026148384507
ABHD1 -0.650791771004666 4.4138646919046 -2.52637789861855 0.0345673496299042 0.229316543012376 -4.01496389364748
ABHD10 -0.213946270868728 8.8237448565686 -0.769099584291813 0.463238822733226 0.732613054361133 -6.28755584964475
ABHD11 -0.118950121895906 5.74506797872759 -0.601804768279155 0.563440333852463 0.797534784062492 -6.40677552367827
ABHD12 0.85230873551884 7.94654183018511 4.00745700961726 0.00365520019731042 0.0814492633710507 -1.7606850949234
ABHD12B 0.747069931085238 1.35391282733231 1.16014568511102 0.278394751218061 0.584211623518976 -5.91648199431379
ABHD13 -0.0492826038561374 5.81629570937506 -0.267746190337211 0.795453963881208 0.920959342123803 -6.56249588390399
ABHD14A -0.282183596023 7.32823504870919 -1.3376668050759 0.216634612807749 0.522011339039443 -5.71201218968866
ABHD14B -0.559808722374499 6.81276191675065 -3.15222451197682 0.0130010150708514 0.147321850794036 -3.04391568631702
ABHD15 -0.601257184816685 5.6817939526995 -2.29717803168834 0.0496781421789802 0.270290649023277 -4.36748217516348
ABHD16A -0.544186434609883 5.31434711870895 -1.65877454841711 0.134523552143493 0.418769810008483 -5.29832764548307
ABHD16B -0.00639408730639179 0.534234079225584 -0.0384433472178514 0.970246383858959 0.989319690585954 -6.60096297766249
ABHD17A 0.145839298881109 8.45252133114421 0.721676082574075 0.490398778065682 0.751138085783647 -6.32396779713356
ABHD17B -0.0536197837729366 6.35879790425388 -0.228271890702115 0.824980163822757 0.934380194235745 -6.57319020152083
